a,b,c,d,e
7,-91.1586441192951,-73.1349615215753,-73.1349615215753,-89.0010140488917
7.0125,-91.0257055320694,-72.1560298092691,-72.1560298092222,-88.8421067774585
7.025,-90.8857269591267,-71.2024910974499,-71.2024910973496,-88.6758746247486
7.0375,-90.7383464131589,-70.2636055775781,-70.2636055775375,-88.5019240764594
7.05,-90.5831737756571,-69.3300515229682,-69.3300515229536,-88.3198336533216
7.0625,-90.419787675756,-68.3938767612265,-68.3938767612873,-88.1291509571836
7.075,-90.2477319253351,-67.4484702623068,-67.4484702624113,-87.929389264426
7.0875,-90.0665114313713,-66.4885371666067,-66.4885371667297,-87.72002358233
7.1,-89.8755874891797,-65.5100523654322,-65.5100523655516,-87.500486066003
7.1125,-89.6743723382632,-64.5101710067488,-64.5101710068504,-87.2701606708667
7.125,-89.4622228346353,-63.4870844180526,-63.4870844181387,-87.0283768871354
7.1375,-89.238433057807,-62.4398228643072,-62.4398228643492,-86.7744023663274
7.15,-89.0022256246249,-61.368018372782,-61.3680183728197,-86.5074342031312
7.1625,-88.7527414223261,-60.2716485996616,-60.2716485996712,-86.2265885754914
7.175,-88.4890273947678,-59.1507851640335,-59.1507851639987,-85.9308883668521
7.1875,-88.2100219120965,-58.0053676323174,-58.0053676322591,-85.6192482905466
7.2,-87.9145371157287,-56.8350191419084,-56.8350191418357,-85.2904568980646
7.2125,-87.6012374439662,-55.6389134039506,-55.6389134038551,-84.9431546671484
7.225,-87.2686132894216,-54.4156968030339,-54.415696802952,-84.5758071131948
7.2375,-86.9149483892345,-53.1634638808639,-53.1634638808133,-84.1866715201481
7.25,-86.5382790604609,-51.8797792771454,-51.8797792770965,-83.7737554029388
7.2625,-86.136342702094,-50.5617335634008,-50.5617335633803,-83.3347641287623
7.275,-85.7065119934841,-49.2060140018482,-49.2060140018384,-82.8670341403265
7.2875,-85.2457097720318,-47.8089645414389,-47.808964541429,-82.3674467845027
7.3,-84.750297423013,-46.3666038002745,-46.366603800277,-81.8323156020655
7.3125,-84.2159263533575,-44.8745676812026,-44.8745676812026,-81.2572366594639
7.325,-83.6373370589139,-43.3279471203996,-43.3279471204023,-80.6368863867986
7.3375,-83.0080822256504,-41.7210028741535,-41.7210028741504,-79.9647431679155
7.35,-82.3201370469369,-40.0467573880772,-40.0467573880759,-79.23269530984
7.3625,-81.5633373758468,-38.2964828507643,-38.2964828507632,-78.4304746310627
7.375,-80.72454633145,-36.4591085981726,-36.4591085981712,-77.5448130587676
7.3875,-79.7863755905299,-34.5205251038626,-34.5205251038626,-76.5581410735245
7.4,-78.7251412327067,-32.4626019096667,-32.4626019096685,-75.4464908560346
7.4125,-77.5074260637762,-30.2613767248149,-30.2613767248139,-74.175935636524
7.425,-76.0839179951163,-27.88327417646,-27.8832741764583,-72.6961322749924
7.4375,-74.3774246906686,-25.2775827822339,-25.2775827822356,-70.9275763855503
7.45,-72.2568989677609,-22.3631572916357,-22.3631572916408,-68.7334220580539
7.4625,-69.471971485727,-19.0027292528282,-19.0027292528293,-65.8460794670535
7.475,-65.4430307991876,-14.8987465195216,-14.898746519528,-61.6164321569373
7.4875,-58.0952844805092,-9.08467236251524,-9.08467236251522,-53.4132304269219
7.5,-47.2245557580641,-8.228730705756E-05,-8.22873070816684E-05,-47.2245557580645
7.5125,-55.4827371309863,-0.00671007314400001,-0.00671007314294036,-55.4340664614661
7.525,-60.6983694189372,-0.00339825487466287,-0.00339825486990398,-60.8753068135255
7.5375,-66.6041809826489,0.0006449434481728,0.00064494344914477,-66.7190050563462
